2017-03-23.10:57:41,Perkovic,http://www.villanova.edu,0
2017-03-23.10:57:41,Notre,http://www.villanova.edu,0
2017-03-23.10:57:41,Book,http://www.villanova.edu,0
2017-03-23.10:57:41,Perkovic,http://www.capsim.com,0
2017-03-23.10:57:41,Notre,http://www.capsim.com,0
2017-03-23.10:57:41,Book,http://www.capsim.com,0
2017-03-23.10:57:41,Perkovic,http://www.vanderbilt.edu,0
2017-03-23.10:57:41,Notre,http://www.vanderbilt.edu,0
2017-03-23.10:57:41,Book,http://www.vanderbilt.edu,0
2017-03-23.10:57:42,Perkovic,http://www.und.com,6
2017-03-23.10:57:42,Notre,http://www.und.com,60
2017-03-23.10:57:42,Book,http://www.und.com,0
